CODIGO;NOMBRE;CAT. 2018-2;CAT. 2019-1;DEPARTAMENTO;PROVINCIA;DISTRITO;NUEVA REFERENCIA;REFERENCIA;DIRECIÓN;TS;MS;BI
22;AMERICANO DE LIMA;4;T;LIMA;LIMA;CHACLACAYO;LIMA/LIMA/CHACLACAYO;CHACLACAYO;CHACLACAYO;;;
23;AMERICANO DE MIRAFLORES;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;AV. AREQUIPA 4799 MIRAFLORES;;;
24;ANDINO;4;T;JUNIN;HUANCAYO;HUANCAYO;JUNIN/HUANCAYO/HUANCAYO;JUNIN - HUANCAYO;JR.GUIDO 512;x;;
25;ANEXO INST. PEDAGOGICO NACIONAL;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;MONTERRICO CHICO S/N SURCO;;;
26;CIENCIAS;4;T;HUANUCO;LEONCIO PRADO;RUPA-RUPA;HUANUCO/LEONCIO PRADO/RUPA-RUPA;HUANUCO;AV. TITO JAIME FERNANDEZ NRO 664 TINGO MARIA;;;
27;ANTONIO RAIMONDI;2;Q;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LA MOLINA / LINCE;AV. LA FONTANA 755;x;x;x
28;ANTONIO RAIMONDI;4;T;ANCASH;SANTA;;ANCASH/SANTA/;ANCASH - CHIMBOTE;ENRIQUE PALACIOS 459 CHIMBOTE;;;
29;APLICACION SAN MARCOS;4;T;LIMA;LIMA;LINCE;LIMA/LIMA/LINCE;LINCE;B.FLORES Y CAPAC YUPANQUI LINCE;;;
30;APOSTOLICO DE LOS PADRES OBLATOS;4;T;LIMA;LIMA;BARRANCO;LIMA/LIMA/BARRANCO;BARRANCO;BARRANCO;;;
32;BARTOLOME HERRERA;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA - CERCADO;CERCADO;;;
33;BEATA IMELDA;4;T;LIMA;LIMA;LURIGANCHO;LIMA/LIMA/LURIGANCHO;LURIGANCHO;CARRETERA CENTRAL KM.29 - LURIGANCHO;x;x;x
34;BEATA IMELDA;4;S;LAMBAYEQUE;;;LAMBAYEQUE//;LAMBAYEQUE - CHICLAYO;CHICLAYO;;;
35;BENJAMIN FRANKLIN;4;T;LIMA;LIMA;JESUS MARIA;LIMA/LIMA/JESUS MARIA;JESUS MARIA;JESUS MARIA;;;
36;BOZZANO;4;T;CALLAO;CALLAO;CALLAO;CALLAO/CALLAO/CALLAO;CALLAO;CALLAO;;;
37;CIENCIAS;4;T;LIMA;LIMA;LINCE;LIMA/LIMA/LINCE;LINCE;LINCE;;;
38;CENTRO SOCIAL DE SEÑORAS;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA - CERCADO;CERCADO;;;
39;CARLOS CUETO FERNANDINI;4;T;LIMA;LIMA;MIRAFLORES;LIMA/LIMA/MIRAFLORES;MIRAFLORES;MIRAFLORES;;;
40;CARLOS LISSON BEINGOLEA;4;T;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LA MOLINA;LOS PETROLEROS 141 URB. LOS INGENIEROS;x;;
41;CENTRO DE ESTUDIOS DEL EJERCITO;4;T;AREQUIPA;;;AREQUIPA//;AREQUIPA;AREQUIPA;;;
42;BRUNING;3;S;LIMA;LIMA;LA MOLINA;LIMA/LIMA/LA MOLINA;LA MOLINA;BERNARDO ALCEDO 260 STA. PATRICIA;;;
43;CARDENAL CUSHING;4;T;LIMA;LIMA;CHACLACAYO;LIMA/LIMA/CHACLACAYO;CHACLACAYO;CHACLACAYO;;;
44;CLARETIANO;4;T;LIMA;LIMA;SAN MIGUEL;LIMA/LIMA/SAN MIGUEL;SAN MIGUEL;AV. PARQUE LAS LEYENDAS 545;x;;
45;CLARETIANO;4;T;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;LA LIBERTAD/TRUJILLO/VICTOR LARCO HERRERA;LA LIBERTAD;HUSARES DE JUNIN 498 - TRUJILLO;x;;
46;NUESTRA SEÑORA VIRGEN DE LA ASUNCION;4;T;CALLAO;CALLAO;VENTANILLA;CALLAO/CALLAO/VENTANILLA;VENTANILLA;;;;
47;CONCORDIA UNIVERSAL;4;T;CALLAO;CALLAO;LA PERLA;CALLAO/CALLAO/LA PERLA;CALLAO - LA PERLA;AV. SANTA ROSA 448 LA PERLA;;;
48;CORAZON DE MARIA;4;T;LIMA;LIMA;SAN MIGUEL;LIMA/LIMA/SAN MIGUEL;SAN MIGUEL;SAN MIGUEL;;;
49;CRISTO DE LAS LAGRIMAS;4;T;LIMA;LIMA;SAN JUAN DE LURIGANCHO;LIMA/LIMA/SAN JUAN DE LURIGANCHO;SAN JUAN DE LURIGANCHO;SAN JUAN DE LURIGANCHO;;;
50;CRISTO REDENTOR;4;T;LIMA;LIMA;SAN ISIDRO;LIMA/LIMA/SAN ISIDRO;SAN ISIDRO;JUAN DELLEPIANI 151 ORRANTIA DEL MAR;;;
51;CRISTO REY;4;T;LIMA;LIMA;CHORRILLOS;LIMA/LIMA/CHORRILLOS;CHORRILLOS;JR. COLINA 285;;;
52;CRISTO REY;4;T;TACNA;;;TACNA//;TACNA;TACNA;;;
54;CRISTO SALVADOR;4;T;LIMA;LIMA;SANTIAGO DE SURCO;LIMA/LIMA/SANTIAGO DE SURCO;SANTIAGO DE SURCO;ENRIQUE LEON GARCIA 394 - CHAMA;x;;
55;INGENIERIA;4;T;JUNIN;HUANCAYO;EL TAMBO;JUNIN/HUANCAYO/EL TAMBO;JUNIN - HUANCAYO;CALLE REAL 231;x;;
56;CORAZON DE JESUS;4;T;LIMA;BARRANCA;PARAMONGA;LIMA/BARRANCA/PARAMONGA;PARAMONGA;PARAMONGA;;;
57;CRISTOBAL COLON;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA - CERCADO;CERCADO;;;
58;CORAZON DE JESUS;4;T;LIMA;LIMA;PUEBLO LIBRE;LIMA/LIMA/PUEBLO LIBRE;PUEBLO LIBRE;PUEBLO LIBRE;;;
59;DE LA CRUZ - LIMA;4;T;LIMA;LIMA;PUEBLO LIBRE;LIMA/LIMA/PUEBLO LIBRE;PUEBLO LIBRE;CALLE SANTA ROSA 224;x;;
60;RICARDO PALMA;4;T;LIMA;LIMA;LA VICTORIA;LIMA/LIMA/LA VICTORIA;LA VICTORIA;;;;
61;CRISTOBAL DE LOZADA Y PUGA;4;T;LIMA;;;LIMA//;LIMA;;;;
62;NUESTRA SEÑORA DE LA LUZ;4;T;LIMA;LIMA;SAN ISIDRO;LIMA/LIMA/SAN ISIDRO;SAN ISIDRO;;;;
63;COOP. SECUNDARIO MIXTO;4;T;ICA;;;ICA//;ICA;AV.VICTORIA 265 CHINCHA ICA;;;
65;CULTURA MODERNA;4;T;LIMA;LIMA;LIMA;LIMA/LIMA/LIMA;LIMA - CERCADO;CERCADO;;;
66;JUAN PABLO PEREGRINO;4;T;LIMA;LIMA;SAN MARTIN DE PORRES;LIMA/LIMA/SAN MARTIN DE PORRES;SAN MARTIN DE PORRES;AV. PROCERES CDRA. 15;;;
67;CHAMPAGNAT;4;T;LAMBAYEQUE;;;LAMBAYEQUE//;LAMBAYEQUE - CHICLAYO;CHICLAYO;;;
68;DALTON;4;T;LIMA;LIMA;LINCE;LIMA/LIMA/LINCE;LINCE;PETIT THOUARS 1845 LINCE;;;
69;DE JESUS;4;T;LIMA;LIMA;PUEBLO LIBRE;LIMA/LIMA/PUEBLO LIBRE;PUEBLO LIBRE;AV. BRASIL 2470 - PUEBLO LIBRE;x;;
70;DE MARIA;4;T;LIMA;LIMA;BARRANCO;LIMA/LIMA/BARRANCO;BARRANCO;BARRANCO;;;
71;DESAMPARADOS;4;T;LIMA;LIMA;;LIMA/LIMA/;LIMA;;;;
72;SAN PABLO;4;T;LIMA;LIMA;PUEBLO LIBRE;LIMA/LIMA/PUEBLO LIBRE;PUEBLO LIBRE;;;;
73;DIEZ DE OCTUBRE;4;T;LIMA;LIMA;BREÑA;LIMA/LIMA/BREÑA;BREÑA;MARIANO CORNEJO 1090 BREÑA;x;;
74;DIVINO CORAZON DE JESUS;4;T;LIMA;BARRANCA;PARAMONGA;LIMA/BARRANCA/PARAMONGA;PARAMONGA;AV.JOSE CORREA 351 PARAMONGA;;;
75;SANTA HILDEGARDA;4;T;LIMA;LIMA;SURQUILLO;LIMA/LIMA/SURQUILLO;SURQUILLO;;;;
