number;name;remote_id;source;image;;;;
109;GABRIELA MISTRAL;4;T;LIMA;;;;
110;GERTRUDE HANKS;4;T;LIMA;;;;
111;GELICICH;4;T;JUNIN;;;;
112;HANS CHRISTIAN ANDERSEN;4;T;LIMA;;;;
113;HOSANNA;4;T;LIMA;;;;
114;HERMANOS BLANCO;4;T;LA LIBERTAD;;;;
115;HOLLY TRINITY / DIVINA TRINIDAD;4;T;LIMA;;;;
116;HELAMAN;4;T;LIMA;;;;
117;HERMANA MARYFLORA;4;T;CALLAO;;;;
118;INDEPENDENCIA;4;T;LIMA;;;;
119;RICARDO PALMA;4;T;LIMA;;;;
120;LA INMACULADA CONCEPCION;4;T;LIMA;;;;
121;INMACULADA CONCEPCION;4;T;LA LIBERTAD;;;;
122;INMACULADO CORAZON;4;T;LIMA;;;;
123;INMACULADO CORAZON DE MARIA;4;T;LIMA;;;;
124;INMACULADA DEL RIMAC;4;T;LIMA;;;;
125;SAN IGNACIO DE LOYOLA;4;T;LIMA;;;;
126;SEVILLA;4;T;LIMA;;;;
127;ISABEL FLORES DE OLIVA;4;T;LIMA;;;;
128;ISABEL LA CATOLICA;4;T;LIMA;;;;
129;INTERNACIONAL DE AREQUIPA;4;T;AREQUIPA;;;;
130;JAMES MONROE;4;T;LIMA;;;;
131;JESUS MARIA;4;T;LIMA;;;;
132;JESUALDO;4;T;LIMA;;;;
133;JOSE PARDO;4;T;LIMA;;;;
134;JOSE QUIÑONES FAP;4;T;LIMA;;;;
135;JORGE WASHINGTON;4;T;CALLAO;;;;
136;JORGE POLAR;4;T;LIMA;;;;
137;JUAN VELEZ DE CORDOVA;4;T;MOQUEGUA;;;;
138;JUAN XXIII;4;S;LIMA;;;;
139;JUAN XXIII;4;T;CALLAO;;;;
140;MARCELINO CHAMPAGNAT;4;T;CALLAO;;;;
141;JOHN DEWEY;4;T;LIMA;;;;
142;JORGE CHAVEZ;4;T;LIMA;;;;
143;MARTIR JOSE OLAYA;4;T;LIMA;;;;
144;JOSE SANTOS CHOCANO;4;T;CALLAO;;;;
145;JUANA DE ARCO;4;T;LIMA;;;;
146;JULIO C. TELLO;4;T;LIMA;;;;
147;JUNIOR CESAR DE LOS RIOS;4;T;CALLAO;;;;
148;JOHN F. KENNEDY;4;T;LIMA;;;;
149;LEON PINELO;1;P;LIMA;;;;
150;LEONCIO PRADO;4;T;CALLAO;;;;
151;LICEO NAVAL ALMIRANTE GUISE;4;T;LIMA;;;;
152;"LICEO NAVAL C. DE C. ""MANUEL CLAVERO M.""";4;T;CALLAO;;;;
153;SANTA ROSA DE LIMA;4;T;LIMA;;;;
154;LA ASUNCION;4;T;LA LIBERTAD;;;;
155;DE LA INMACULADA;3;R;LIMA;;;;
156;LA INMACULADA;4;T;LIMA;;;;
157;INCA GARCILAZO DE LA VEGA;4;T;LIMA;;;;
158;LA REPARACION;4;T;LIMA;;;;
159;LA SALLE - LIMA;4;T;LIMA;;;;
160;LA SALLE - AREQUIPA;4;T;AREQUIPA;;;;
161;LA MEDALLA MILAGROSA;4;T;LIMA;;;;
162;LA MERCED;4;T;LIMA;;;;
163;LA SAGRADA FAMILIA;4;T;LIMA;;;;
164;LA SAGRADA FAMILIA;4;T;HUANUCO;;;;
165;LA SAGRADA FAMILIA;4;T;JUNIN;;;;
166;LA VICTORIA;4;T;LIMA;;;;
167;LATINOAMERICANO;4;T;LIMA;;;;
168;LA PROVIDENCIA;4;T;LIMA;;;;
169;MIGUEL GRAU;4;T;CALLAO;;;;
170;LORD COCHRANE;4;T;CALLAO;;;;
171;LOS LIBERTADORES;4;T;LA LIBERTAD;;;;
172;SAN CARLOS;4;T;JUNIN;;;;
173;LIMA SAN CARLOS;4;T;LIMA;;;;
174;LUZ CASANOVA;4;T;LIMA;;;;
175;MANUEL PRADO;4;T;LIMA;;;;
176;MANUEL A. VENTURA;4;T;LIMA;;;;
177;JOSE CARLOS MARIATEGUI;4;T;LIMA;;;;
178;MANUEL RAMIREZ BARINAGA;4;T;LIMA;;;;
179;MARIA AUXILIADORA;4;T;LIMA;;;;
180;MARIA AUXILIADORA;4;T;LIMA;;;;
181;MARIA DE LAS MERCEDES;4;T;LIMA;;;;
182;MARIA REINA;3;S;LIMA;;;;
183;MARIA DEL CARMEN;4;T;LIMA;;;;
184;MARIA ALVARADO;4;S;LIMA;;;;
185;MARIA DE LOS ANGELES;4;T;LIMA;;;;
186;MARKHAM;1;P;LIMA;;;;
187;MATER ADMIRABILIS;4;T;LIMA;;;;
188;MATER ADMIRABILIS;4;T;PIURA;;;;
189;MATER PURISSIMA;4;T;LIMA;;;;
190;CHAMPAGNAT MARISTAS;3;S;LIMA;;;;
191;JOSE ANTONIO ENCINAS;4;T;LIMA;;;;
192;MARISTAS;4;T;LIMA;;;;
193;MARCELINO CHAMPAGNAT;4;T;LIMA;;;;
194;BUENAS NUEVAS;4;T;LIMA;;;;
195;MARISCAL SUCRE;4;T;LIMA;;;;
196;MIDDENDORF;3;S;LIMA;;;;
197;MARISCAL BENAVIDES;4;T;LIMA;;;;
198;MARISCAL DOMINGO NIETO;4;T;LIMA;;;;
200;MERCEDES INDACOCHEA;4;T;LIMA;;;;
201;MODELO;4;T;LIMA;;;;
202;MOCHE;4;T;LA LIBERTAD;;;;
203;MONTE MARIA;3;S;LIMA;;;;
204;MONTERRICO;4;T;LIMA;;;;
205;MONTESSORI;4;T;LIMA;;;;
206;MARIA DE LA PROVIDENCIA;4;T;LIMA;;;;
207;MARIA INMACULADA;4;T;LIMA;;;;
208;MATER SANTISIMA;4;T;LIMA;;;;
209;MAX UHLE;4;T;AREQUIPA;;;;
210;MAYUPAMPA;4;T;JUNIN;;;;
212;MI HOGAR Y MI ESCUELA;4;T;LIMA;;;;
213;MIXTO MIRAFLORES;4;T;LIMA;;;;
214;MUNDO MEJOR;4;T;ANCASH;;;;
215;NUESTRA SEÑORA DE FATIMA;4;T;LORETO;;;;
216;NUESTRA SEÑORA DE FATIMA;4;T;LIMA;;;;
217;NAZARETH;4;T;LIMA;;;;
218;NESTOR S. MARTOS;4;T;PIURA;;;;
219;NICOLAS DE PIEROLA;4;T;LIMA;;;;
220;NUESTRA SEÑORA NOTRE DAME;4;T;LIMA;;;;
