id;name;;;;;;;
141;JOHN DEWEY;;;;;;;
142;JORGE CHAVEZ;;;;;;;
143;MARTIR JOSE OLAYA;;;;;;;
144;JOSE SANTOS CHOCANO;;;;;;;
145;JUANA DE ARCO;;;;;;;
146;JULIO C. TELLO;;;;;;;
147;JUNIOR CESAR DE LOS RIOS;;;;;;;
148;JOHN F. KENNEDY;;;;;;;
149;LEON PINELO;;;;;;;
150;LEONCIO PRADO;;;;;;;
151;LICEO NAVAL ALMIRANTE GUISE;;;;;;;
152;"LICEO NAVAL C. DE C. ""MANUEL CLAVERO M.""";;;;;;;
153;SANTA ROSA DE LIMA;;;;;;;
154;LA ASUNCION;;;;;;;
155;DE LA INMACULADA;;;;;;;
156;LA INMACULADA;;;;;;;
157;INCA GARCILAZO DE LA VEGA;;;;;;;
158;LA REPARACION;;;;;;;
159;LA SALLE - LIMA;;;;;;;
160;LA SALLE - AREQUIPA;;;;;;;
161;LA MEDALLA MILAGROSA;;;;;;;
162;LA MERCED;;;;;;;
163;LA SAGRADA FAMILIA;;;;;;;
164;LA SAGRADA FAMILIA;;;;;;;
165;LA SAGRADA FAMILIA;;;;;;;
166;LA VICTORIA;;;;;;;
167;LATINOAMERICANO;;;;;;;
168;LA PROVIDENCIA;;;;;;;
169;MIGUEL GRAU;;;;;;;
170;LORD COCHRANE;;;;;;;
171;LOS LIBERTADORES;;;;;;;
172;SAN CARLOS;;;;;;;
173;LIMA SAN CARLOS;;;;;;;
174;LUZ CASANOVA;;;;;;;
175;MANUEL PRADO;;;;;;;
176;MANUEL A. VENTURA;;;;;;;
177;JOSE CARLOS MARIATEGUI;;;;;;;
178;MANUEL RAMIREZ BARINAGA;;;;;;;
179;MARIA AUXILIADORA;;;;;;;
180;MARIA AUXILIADORA;;;;;;;
181;MARIA DE LAS MERCEDES;;;;;;;
182;MARIA REINA;;;;;;;
183;MARIA DEL CARMEN;;;;;;;
184;MARIA ALVARADO;;;;;;;
185;MARIA DE LOS ANGELES;;;;;;;
186;MARKHAM;;;;;;;
187;MATER ADMIRABILIS;;;;;;;
188;MATER ADMIRABILIS;;;;;;;
189;MATER PURISSIMA;;;;;;;
190;CHAMPAGNAT MARISTAS;;;;;;;
191;JOSE ANTONIO ENCINAS;;;;;;;
192;MARISTAS;;;;;;;
193;MARCELINO CHAMPAGNAT;;;;;;;
194;BUENAS NUEVAS;;;;;;;
195;MARISCAL SUCRE;;;;;;;
196;MIDDENDORF;;;;;;;
197;MARISCAL BENAVIDES;;;;;;;
198;MARISCAL DOMINGO NIETO;;;;;;;
200;MERCEDES INDACOCHEA;;;;;;;
201;MODELO;;;;;;;
202;MOCHE;;;;;;;
203;MONTE MARIA;;;;;;;
204;MONTERRICO;;;;;;;
205;MONTESSORI;;;;;;;
206;MARIA DE LA PROVIDENCIA;;;;;;;
207;MARIA INMACULADA;;;;;;;
208;MATER SANTISIMA;;;;;;;
209;MAX UHLE;;;;;;;
210;MAYUPAMPA;;;;;;;
212;MI HOGAR Y MI ESCUELA;;;;;;;
213;MIXTO MIRAFLORES;;;;;;;
214;MUNDO MEJOR;;;;;;;
215;NUESTRA SEÑORA DE FATIMA;;;;;;;
216;NUESTRA SEÑORA DE FATIMA;;;;;;;
217;NAZARETH;;;;;;;
218;NESTOR S. MARTOS;;;;;;;
219;NICOLAS DE PIEROLA;;;;;;;
220;NUESTRA SEÑORA NOTRE DAME;;;;;;;
221;NUESTRA SEÑORA DE COPACABANA;;;;;;;
222;NUESTRA SEÑORA DE LA CONSOLACION;;;;;;;
223;NUESTRA SEÑORA DE LA MERCED;;;;;;;
224;NUESTRA SEÑORA DE LA MERCED;;;;;;;
225;NUESTRA SEÑORA DE LA PAZ;;;;;;;
226;NUESTRA SEÑORA DE LOURDES;;;;;;;
227;NUESTRA SEÑORA DE LOURDES;;;;;;;
228;NUESTRA SEÑORA DEL CARMEN-CARMELITAS;;;;;;;
229;NUESTRA SEÑORA DEL CARMEN;;;;;;;
230;NUESTRA SEÑORA DEL CARMEN;;;;;;;
231;NUESTRA SEÑORA DEL CARMEN;;;;;;;
232;NUESTRA SEÑORA DEL PILAR;;;;;;;
233;NUESTRA SEÑORA DEL PILAR;;;;;;;
234;NUESTRA SEÑORA DE TARAPOTO;;;;;;;
235;NUESTRA SEÑORA DEL CARMEN;;;;;;;
236;NUESTRA SEÑORA DEL PRADO;;;;;;;
237;NUESTRA SEÑORA DEL ROSARIO DE FATIMA;;;;;;;
238;NEWTON COLLEGE;;;;;;;
239;NUESTRA SEÑORA DE LA ASUNCION;;;;;;;
240;NUESTRA SEÑORA DE LA ASUNCION;;;;;;;
241;NUESTRA SEÑORA DE LA CANDELA;;;;;;;
242;NUESTRA SEÑORA DE LOS DESAMPARADOS;;;;;;;
243;NUESTRA SEÑORA DE MONTSERRAT/MONSERRATE;;;;;;;
244;NUESTRA SEÑORA DEL CARMELO;;;;;;;
245;NUESTRA SEÑORA DEL PATROCINIO;;;;;;;
